Cardinal Electors(135),Age,Date ofBirth,gc_id
"Omella Omella, Juan José(79),Cardinal-PriestofS. Croce in Gerusalemme,Metropolitan ArchbishopofBarcelona(Spain)andMemberofCouncil of Cardinals",79,1946.04.21,120
"Filoni, Fernando (斐洛尼)(79),Cardinal-BishopofNostra Signora di Coromoto in S. Giovanni di DioandGrand MasterofEquestrian Order of the Holy Sepulchre of Jerusalem (Knights of the Holy Sepulchre)",79,1946.04.15,121
"Pierre, Christophe Louis Yves Georges(79),Cardinal-DeaconofS. Benedetto fuori Porta S. PaoloandApostolic NunciotoUnited States of America",79,1946.01.30,122
"Zenari, Mario(79),Cardinal-DeaconofS. Maria delle Grazie alle Fornaci fuori Porta CavalleggeriandApostolic NunciotoSyria",79,1946.01.05,123
"Njue, John(79),Cardinal-PriestofPreziosissimo Sangue di Nostro Signore Gesù CristoandMetropolitan Archbishopemeritus ofNairobi(Kenya)",79,1946.01.01,124
"Ouédraogo, Philippe Nakellentuba(79),Cardinal-PriestofS. Maria Consolatrice al TiburtinoandMetropolitan Archbishopemeritus ofOuagadougou(Burkina Faso)",79,1945.12.31,125
"Kutwa, Jean-Pierre(79),Cardinal-PriestofS. Emerenziana a Tor Fiorenza,Apostolic Administratorsede plenaofMan(Cote d’Ivoire)andMetropolitan Archbishopemeritus ofAbidjan(Cote d’Ivoire)",79,1945.12.22,126
"Nichols, Vincent Gerard(79),Cardinal-PriestofSS. Redentore e S. Alfonso in Via Merulana,Metropolitan ArchbishopofWestminster(England)andPresidentofBishops’ Conference of England and Wales",79,1945.11.08,127
"Cañizares Llovera, Antonio(79),Cardinal-PriestofS. PancrazioandMetropolitan Archbishopemeritus ofValencia(Spain)",79,1945.10.15,128
"Puljić, Vinko(79),Cardinal-PriestofS. Chiara a Vigna ClaraandMetropolitan Archbishopemeritus ofVrhbosna(Bosnia and Herzegovina)",79,1945.09.08,129
"Radcliffe, Timothy Peter Joseph,O.P.(79),Cardinal-DeaconofSS. Nomi di Gesù e Maria in Via LataandMaster of the Orderemeritus ofOrder of Preachers (Dominicans)",79,1945.08.22,130
"Coutts, Joseph(79),Cardinal-PriestofS. Bonaventura da BagnoregioandMetropolitan Archbishopemeritus ofKarachi(Pakistan)",79,1945.07.21,131
"Ryłko, Stanisław(79),Cardinal-PriestofS. Cuore di Cristo Repro hac viceTitleandArchpriestofPapal Basilica of Saint Mary Major",79,1945.07.04,132
"Sarah, Robert(79),Cardinal-PriestofS. Giovanni Bosco in Via Tuscolanapro hac viceTitle,Metropolitan Archbishopemeritus ofConakry(Guinea)andPrefectemeritus ofCongregation for Divine Worship and the Discipline of the Sacraments",79,1945.06.15,133
"Osoro Sierra, Carlos(79),Cardinal-PriestofS. Maria in Trastevere,Metropolitan Archbishopemeritus ofMadrid(Spain)andOrdinaryemeritus ofSpainof theEastern Rite(Spain)",79,1945.05.16,134
Cardinal Non-Electors(117),Age,Date ofBirth,135
"Becciu, Giovanni Angelo(76),Cardinal-DeaconofS. Lino,Prefectemeritus ofCongregation for the Causes of SaintsandformerSpecial DelegatetoSovereign Military Hospitaller Order of Saint John of Jerusalem of Rhodes and of Malta (Knights of Malta)",76,1948.06.02,136
"Alencherry, George(80)(Syro-Malabar Rite),Cardinal-PriestofS. Bernardo alle Terme,Major Archbishopemeritus ofErnakulam–Angamalyof theSyro-Malabars(India)andformerPresidentofSynod of the Syro-Malabar Church",80,1945.04.19,137
"Aós Braco, Celestino,O.F.M. Cap.(80),Cardinal-PriestofSs. Nereo ed Achilleo,Metropolitan Archbishopemeritus ofSantiago(Chile)andformerPresidentofEpiscopal Conference of Chile",80,1945.04.06,138
"Vérgez Alzaga, Fernando,L.C.(80),Cardinal-DeaconofS. Maria della Mercede e S. Adriano a Villa AlbaniandMemberofCouncil of Cardinals",80,1945.03.01,139
"Schönborn, Christoph,O.P.(80),Cardinal-PriestofGesù Divin Lavoratore,OrdinaryofAustriaof theEastern Rite(Austria),PresidentofCommission of Cardinals overseeing the Institute for Works of ReligionandMetropolitan Archbishopemeritus ofWien(Austria)",80,1945.01.22,140
"Gracias, Oswald(80),Cardinal-PriestofS. Paolo della Croce a «Corviale»,MemberofCouncil of CardinalsandMetropolitan Archbishopemeritus ofBombay(India)",80,1944.12.24,141
"Porras Cardozo, Baltazar Enrique(80),Cardinal-PriestofSs. Giovanni Evangelista e PetronioandMetropolitan Archbishopemeritus ofCaracas(Venezuela)",80,1944.10.10,142
"Ricard, Jean-Pierre Bernard(80),Cardinal-PriestofS. AgostinoandMetropolitan Archbishopemeritus ofBordeaux(France)",80,1944.09.26,143
"Piacenza, Mauro(80),Cardinal-PriestofS. Paolo alle Tre Fontanepro hac viceTitleandMajor Penitentiaryemeritus ofApostolic Penitentiary",80,1944.09.15,144
"Pengo, Polycarp(80),Cardinal-PriestofNostra Signora de La SaletteandMetropolitan Archbishopemeritus ofDar-es-Salaam(Tanzania)",80,1944.08.05,145
"O’Malley, Seán Patrick,O.F.M. Cap.(80),Cardinal-PriestofS. Maria della Vittoria,PresidentofPontifical Commission for the Protection of Minors,MemberofCouncil of CardinalsandMetropolitan Archbishopemeritus ofBoston(USA)",80,1944.06.29,146
"Ouellet, Marc,P.S.S.(80),Cardinal-BishopofS. Maria in Traspontina,Prefectemeritus ofDicastery for BishopsandPresidentemeritus ofPontifical Commission for Latin America",80,1944.06.08,147
"Ladaria Ferrer, Luis Francisco,S.J.(81),Cardinal-DeaconofS. Ignazio di Loyola a Campo Marzio,Prefectemeritus ofDicastery for the Doctrine of the Faith,Presidentemeritus ofPontifical Biblical CommissionandformerPresidentofInternational Theological Commission",81,1944.04.19,148
"Ling Mangkhanekhoun, Louis-Marie,I.V.D.(81),Cardinal-PriestofS. Silvestro in Capite,Apostolic AdministratorofLuang Prabang(Laos)andVicar Apostolicemeritus ofVientiane(Laos)",81,1944.04.08,149
"Lacunza Maestrojuán, José Luis,O.A.R.(81),Cardinal-PriestofS. Giuseppe da CopertinoandBishopemeritus ofDavid(Panama)",81,1944.02.24,150
"Barreto Jimeno, Pedro Ricardo,S.J.(81),Cardinal-PriestofSs. Pietro e Paolo a Via Ostiense,PresidentofEcclesial Conference of the Amazon (CEAMA)andMetropolitan Archbishopemeritus ofHuancayo(Peru)",81,1944.02.12,151
"Onaiyekan, John Olorunfemi(81),Cardinal-PriestofS. SaturninoandMetropolitan Archbishopemeritus ofAbuja(Nigeria)",81,1944.01.29,152
"Cipriani Thorne, Juan Luis,Opus Dei(81),Cardinal-PriestofS. Camillo de LellisandMetropolitan Archbishopemeritus ofLima(Peru)",81,1943.12.28,153
"Zerbo, Jean(81),Cardinal-PriestofS. Antonio da Padova in Via TuscolanaandMetropolitan Archbishopemeritus ofBamako(Mali)",81,1943.12.27,154
"Yeom Soo-jung, Andrew (염수정 안드레아 / 廉洙政)(81),Cardinal-PriestofS. Crisogono,Metropolitan Archbishopemeritus ofSeoul 서울(South Korea)andformerApostolic AdministratorofPyong-yang 평양(North Korea)",81,1943.12.05,155
"Sandri, Leonardo(81),Cardinal-BishopofSs. Biagio e Carlo ai CatinariandCardinal Vice-DeanofCollege of Cardinals",81,1943.11.18,156
"D’Rozario, Patrick,C.S.C.(81),Cardinal-PriestofNostra Signora del SS. Sacramento e Santi Martiri CanadesiandMetropolitan Archbishopemeritus ofDhaka(Bangladesh)",81,1943.10.01,157
"Comastri, Angelo(81),Cardinal-PriestofS. Salvatore in Lauropro hac viceTitle,Archbishop-Prelateemeritus ofLoreto(Italy),Presidentemeritus ofFabric of Saint Peter,Archpriestemeritus ofPapal Basilica of Saint PeterandVicar General for the Vatican City Stateemeritus ofRoma(Italy)",81,1943.09.17,158
"Versaldi, Giuseppe(81),Cardinal-PriestofS. Cuore di Gesù a Castro Pretoriopro hac viceTitle,Pontifical DelegateforCongregation of the Sons of the Immaculate ConceptionandBishopemeritus ofAlessandria(Italy)",81,1943.07.30,159
"Sepe, Crescenzio(81),Cardinal-PriestofDio Padre misericordiosopro hac viceTitleandMetropolitan Archbishopemeritus ofNapoli(Italy)",81,1943.06.02,160
"Duka, Dominik,O.P.(82),Cardinal-PriestofSs. Marcellino e PietroandMetropolitan Archbishopemeritus ofPraha(Czechia)",82,1943.04.26,161
"Calcagno, Domenico(82),Cardinal-PriestofSS. Annunciazione della Beata Vergine Maria a Via Ardeatinapro hac viceTitle,Bishopemeritus ofSavona–Noli(Italy)andPresidentemeritus ofAdministration of the Patrimony of the Apostolic See",82,1943.02.03,162
"Bagnasco, Angelo(82),Cardinal-PriestofGran Madre di DioandMetropolitan Archbishopemeritus ofGenova(Italy)",82,1943.01.14,163
"Rodríguez Maradiaga, Óscar Andrés,S.D.B.(82),Cardinal-PriestofS. Maria della Speranza,Metropolitan Archbishopemeritus ofTegucigalpa(Honduras)andCoordinatoremeritus ofCouncil of Cardinals",82,1942.12.29,164
"Vingt-Trois, André Armand(82),Cardinal-PriestofS. Luigi dei Francesi,Metropolitan Archbishopemeritus ofParis(France)andOrdinaryemeritus ofFranceof theEastern Rite(France)",82,1942.11.07,165
"Ravasi, Gianfranco(82),Cardinal-PriestofS. Giorgio in Velabropro hac viceTitleandPresidentemeritus ofPontifical Commission for Sacred Archaeology",82,1942.10.18,166
"Bertello, Giuseppe(82),Cardinal-PriestofSs. Vito, Modesto e Crescenziapro hac viceTitle,Presidentemeritus ofGovernorate of Vatican City StateandPresidentemeritus ofPontifical Commission for Vatican City State",82,1942.10.01,167
"Salazar Gómez, Rubén(82),Cardinal-PriestofS. Gerardo MaiellaandMetropolitan Archbishopemeritus ofBogotá(Colombia)",82,1942.09.22,168
"Rosa Chávez, Gregorio(82),Cardinal-PriestofSS. Sacramento a Tor de’ SchiaviandAuxiliary Bishopemeritus ofSan Salvador(El Salvador)",82,1942.09.03,169
"Miglio, Arrigo(82),Cardinal-PriestofS. ClementeandMetropolitan Archbishopemeritus ofCagliari(Italy)",82,1942.07.18,170
"Ghirlanda, Gianfranco,S.J.(82),Cardinal-DeaconofSS. Nome di Gesù,Pontifical AssistantforMemores Domini Lay AssociationandPatronofSovereign Military Hospitaller Order of Saint John of Jerusalem of Rhodes and of Malta (Knights of Malta)",82,1942.07.05,171
"Rivera Carrera, Norberto(82),Cardinal-PriestofS. Francesco d’Assisi a Ripa GrandeandMetropolitan Archbishopemeritus ofMéxico(Mexico)",82,1942.06.06,172
"Blázquez Pérez, Ricardo(83),Cardinal-PriestofS. Maria in VallicellaandMetropolitan Archbishopemeritus ofValladolid(Spain)",83,1942.04.13,173
"Bassetti, Gualtiero(83),Cardinal-PriestofS. CeciliaandMetropolitan Archbishopemeritus ofPerugia–Città della Pieve(Italy)",83,1942.04.07,174
"Jiménez Carvajal, Jorge Enrique,C.I.M.(83),Cardinal-PriestofS. DoroteaandMetropolitan Archbishopemeritus ofCartagena(Colombia)",83,1942.03.29,175
"Frezza, Fortunato(83),Cardinal-DeaconofS. Maria in Via LataandUndersecretaryemeritus ofGeneral Secretariat of the Synod of Bishops",83,1942.02.06,176
"Ezzati Andrello, Ricardo,S.D.B.(83),Cardinal-PriestofSS. Redentore a ValmelainaandMetropolitan Archbishopemeritus ofSantiago(Chile)",83,1942.01.07,177
"Scola, Angelo(83),Cardinal-PriestofSs. XII ApostoliandMetropolitan Archbishopemeritus ofMilano(Italy)",83,1941.11.07,178
"Stella, Beniamino(83),Cardinal-BishopofPorto–Santa Rufina,Prefectemeritus ofCongregation for ClergyandformerPresidentofInterdicastery Commission for Candidates to Sacred Order",83,1941.08.18,179
"Piat, Maurice,C.S.Sp.(83),Cardinal-PriestofS. Teresa al Corso d’ItaliaandBishopemeritus ofPort-Louis(Mauritius)",83,1941.07.19,180
"Napier, Wilfrid Fox,O.F.M.(84),Cardinal-PriestofS. Francesco d’Assisi ad Acilia,Apostolic AdministratorofEshowe(South Africa)andMetropolitan Archbishopemeritus ofDurban(South Africa)",84,1941.03.08,181
"Zubeir Wako, Gabriel(84),Cardinal-PriestofS. Atanasio a Via TiburtinaandMetropolitan Archbishopemeritus ofKhartoum(Sudan)",84,1941.02.27,182
"Wuerl, Donald William(84),Cardinal-PriestofS. Pietro in VincoliandMetropolitan Archbishopemeritus ofWashington(USA)",84,1940.11.12,183
"Tomasi, Silvano Maria,C.S.(84),Cardinal-DeaconofS. Nicola in CarcereandSpecial DelegatetoSovereign Military Hospitaller Order of Saint John of Jerusalem of Rhodes and of Malta (Knights of Malta)",84,1940.10.12,184
"Baldisseri, Lorenzo(84),Cardinal-PriestofS. Anselmo all’Aventinopro hac viceTitleandSecretary Generalemeritus ofGeneral Secretariat of the Synod of Bishops",84,1940.09.29,185
"Marchetto, Agostino(84),Cardinal-DeaconofS. Maria GorettiandSecretaryemeritus ofPontifical Council for the Pastoral Care of Migrants and Itinerant People",84,1940.08.28,186
"Feroci, Enrico(84),Cardinal-DeaconofS. Maria del Divino Amore a Castel di Leva",84,1940.08.27,187
"Arizmendi Esquivel, Felipe(85),Cardinal-PriestofS. Luigi Maria Grignion de MontfortandBishopemeritus ofSan Cristóbal de las Casas(Mexico)",85,1940.05.01,188
"Vallini, Agostino(85),Cardinal-PriestofS. Pier Damiani ai Monti di S. Paolopro hac viceTitle,Pontifical Legateforthe Basilicas of Saint Francis and Saint Mary of the Angels in AssisiandBishopemeritus ofAlbano(Italy)",85,1940.04.17,189
"Raï, Béchara Pierre,O.M.M.(Béchara)(85)(Maronite Rite),Cardinal-Patriarch,PatriarchofAntiochof theMaronites(Lebanon),PresidentofSynod of the Maronite Church,PresidentofAssembly of the Catholic Patriarchs and Bishops of LebanonandPresidentofCouncil of Catholic Patriarchs of the East",85,1940.02.25,190
"Menichelli, Edoardo(85),Cardinal-PriestofSS. Cuori di Gesù e Maria a Tor FiorenzaandMetropolitan Archbishopemeritus ofAncona–Osimo(Italy)",85,1939.10.14,191
"Brady, Seán Baptist(85),Cardinal-PriestofSs. Quirico e Giulitta,Metropolitan Archbishopemeritus ofArmagh(Northern Ireland)andformerPresidentofIrish Catholic Bishops’ Conference",85,1939.08.16,192
"Tong Hon, John (湯漢)(85),Cardinal-Priestof«Regina Apostolorum»andBishopemeritus ofHong Kong 香港(Hong Kong)",85,1939.07.31,193
"Padrón Sánchez, Diego Rafael(85),Cardinal-PriestofS. GaetanoandMetropolitan Archbishopemeritus ofCumaná(Venezuela)",85,1939.05.17,194
"Dziwisz, Stanisław(86),Cardinal-PriestofS. Maria del PopoloandMetropolitan Archbishopemeritus ofKraków(Poland)",86,1939.04.27,195
"O’Brien, Edwin Frederick(86),Cardinal-PriestofS. Sebastiano al Palatinopro hac viceTitle,Metropolitan Archbishopemeritus ofBaltimore(USA)andGrand Masteremeritus ofEquestrian Order of the Holy Sepulchre of Jerusalem (Knights of the Holy Sepulchre)",86,1939.04.08,196
"Quevedo, Orlando Beltran,O.M.I.(86),Cardinal-PriestofS. Maria «Regina Mundi» a Torre SpaccataandMetropolitan Archbishopemeritus ofCotabato(Philippines)",86,1939.03.11,197
"Suárez Inda, Alberto(86),Cardinal-PriestofS. PolicarpoandMetropolitan Archbishopemeritus ofMorelia(Mexico)",86,1939.01.30,198
"Tamkevičius, Sigitas,S.J.(86),Cardinal-PriestofS. Angela MericiandMetropolitan Archbishopemeritus ofKaunas(Lithuania)",86,1938.11.07,199
"Bocos Merino, Aquilino,C.M.F.(86),Cardinal-DeaconofS. Lucia del GonfaloneandSuperior Generalemeritus ofMissionary Sons of the Immaculate Heart of Mary (Claretians)",86,1938.05.17,200
"Nguyễn Văn Nhơn, Pierre(87),Cardinal-PriestofS. Tommaso ApostoloandMetropolitan Archbishopemeritus ofHà Nôi(Vietnam)",87,1938.04.01,201
"Monteiro de Castro, Manuel(87),Cardinal-PriestofS. Domenico di Guzmánpro hac viceTitleandMajor Penitentiaryemeritus ofApostolic Penitentiary",87,1938.03.29,202
"Coccopalmerio, Francesco(87),Cardinal-PriestofS. Giuseppe dei Falegnamipro hac viceTitleandPresidentemeritus ofPontifical Council for Legislative Texts",87,1938.03.06,203
"Romeo, Paolo(87),Cardinal-PriestofS. Maria Odigitria dei Sicilianipro hac viceTitleandMetropolitan Archbishopemeritus ofPalermo(Italy)",87,1938.02.20,204
"Vegliò, Antonio Maria(87),Cardinal-PriestofS. Cesareo in Palatiopro hac viceTitleandPresidentemeritus ofPontifical Council for the Pastoral Care of Migrants and Itinerant People",87,1938.02.03,205
"Fitzgerald, Michael Louis,M. Afr.(87),Cardinal-DeaconofS. Maria in Portico,Presidentemeritus ofPontifical Council for Inter-Religious DialogueandPrefectemeritus ofCommission for Religious Relations with Muslims",87,1937.08.17,206
"Martínez Sistach, Lluís(88),Cardinal-PriestofS. Sebastiano alle CatacombeandMetropolitan Archbishopemeritus ofBarcelona(Spain)",88,1937.04.29,207
"Ticona Porco, Toribio(88),Cardinal-PriestofSs. Gioacchino ed Anna al TuscolanoandBishop-Prelateemeritus ofCorocoro(Bolivia)",88,1937.04.25,208
"Assis, Raymundo Damasceno(88),Cardinal-PriestofImmacolata al Tiburtino,Apostolic CommissionerforHeralds of the GospelandMetropolitan Archbishopemeritus ofAparecida(Brazil)",88,1937.02.15,209
"Bačkis, Audrys Juozas(88),Cardinal-PriestofNatività di Nostro Signore Gesù Cristo a Via GalliaandMetropolitan Archbishopemeritus ofVilnius(Lithuania)",88,1937.02.01,210
"Sarr, Théodore-Adrien(88),Cardinal-PriestofS. Lucia a Piazza d’ArmiandMetropolitan Archbishopemeritus ofDakar(Senegal)",88,1936.11.28,211
"Antonelli, Ennio(88),Cardinal-PriestofS. Andrea delle Fratte,Metropolitan Archbishopemeritus ofFirenze(Italy)andPresidentemeritus ofPontifical Council for the Family",88,1936.11.18,212
"López Rodríguez, Nicolás de Jesús(88),Cardinal-PriestofS. Pio X alla BalduinaandMilitary Ordinaryemeritus ofDominican Republic(Dominican Republic)",88,1936.10.31,213
"Rouco Varela, Antonio María(88),Cardinal-PriestofS. Lorenzo in DamasoandMetropolitan Archbishopemeritus ofMadrid(Spain)",88,1936.08.20,214
"Okogie, Anthony Olubunmi(88),Cardinal-PriestofS. Maria del Monte Carmelo a Mostacciano,Metropolitan Archbishopemeritus ofLagos(Nigeria)andformerMemberofCouncil of Cardinals for the Study of Organisational and Economic Problems of the Apostolic See",88,1936.06.16,215
"Mahony, Roger Michael(89),Cardinal-PriestofSs. Quattro Coronati,Metropolitan Archbishopemeritus ofLos Angeles(USA)andformerMemberofCouncil of Cardinals for the Study of Organisational and Economic Problems of the Apostolic See",89,1936.02.27,216
"Abril y Castelló, Santos(89),Cardinal-PriestofS. Ponzianopro hac viceTitleandApostolic CommissionerforInstitute of the Incarnate Word",89,1935.09.21,217
"Rigali, Justin Francis(90),Cardinal-PriestofS. PriscaandMetropolitan Archbishopemeritus ofPhiladelphia(USA)",90,1935.04.19,218
"Lajolo, Giovanni(90),Cardinal-PriestofS. Maria Liberatrice a Monte Testacciopro hac viceTitle,Presidentemeritus ofGovernorate of Vatican City StateandPresidentemeritus ofPontifical Commission for Vatican City State",90,1935.01.03,219
"Darmaatmadja, Julius Riyadi,S.J.(90),Cardinal-PriestofS. Cuore di MariaandMetropolitan Archbishopemeritus ofJakarta(Indonesia)",90,1934.12.20,220
"Bertone, Tarcisio,S.D.B.(90),Cardinal-BishopofFrascatiandCamerlengo of the Holy Roman Churchemeritus ofApostolic Camera",90,1934.12.02,221
"Villalba, Luis Héctor(90),Cardinal-PriestofS. Girolamo a CorvialeandMetropolitan Archbishopemeritus ofTucumán(Argentina)",90,1934.10.11,222
"Rode, Franc,C.M.(90),Cardinal-PriestofS. Francesco Saverio alla Garbatellapro hac viceTitle,Metropolitan Archbishopemeritus ofLjubljana(Slovenia)andPrefectemeritus ofCongregation for Institutes of Consecrated Life and for Societies of Apostolic Life",90,1934.09.23,223
"Cantalamessa, Raniero,O.F.M. Cap.(90),Cardinal-DeaconofS. Apollinare alle Terme Neroniane-AlessandrineandPreacheremeritus ofPrefecture of the Papal Household",90,1934.07.22,224
"Monterisi, Francesco(90),Cardinal-PriestofS. Paolo alla Regolapro hac viceTitleandArchpriestemeritus ofPapal Basilica of Saint Paul Outside-the-Walls",90,1934.05.28,225
"Phạm Minh Mẫn, Jean-Baptiste(91),Cardinal-PriestofS. GiustinoandMetropolitan Archbishopemeritus ofThành-Phô Hô Chí Minh(Vietnam)",91,1934.03.05,226
"Re, Giovanni Battista(91),Cardinal-BishopofOstia,Cardinal-BishopofSabina–Poggio MirtetoandCardinal DeanofCollege of Cardinals",91,1934.01.30,227
"Farina, Raffaele,S.D.B.(91),Cardinal-PriestofS. Giovanni della Pignapro hac viceTitleandPresidentemeritus ofPontifical Commission for Reference on the Institute for Works of Religion",91,1933.09.24,228
"Errázuriz Ossa, Francisco Javier,I.Sch.(91),Cardinal-PriestofS. Maria della PaceandMetropolitan Archbishopemeritus ofSantiago(Chile)",91,1933.09.05,229
"Sandoval Íñiguez, Juan(92),Cardinal-PriestofNostra Signora di Guadalupe e S. Filippo Martire in Via AureliaandMetropolitan Archbishopemeritus ofGuadalajara(Mexico)",92,1933.03.28,230
"Kasper, Walter(92),Cardinal-PriestofOgnissanti in Via Appia Nuovapro hac viceTitle,Bishopemeritus ofRottenburg–Stuttgart(Germany),Presidentemeritus ofPontifical Council for Promoting Christian UnityandPresidentemeritus ofCommission for Religious Relations with the Jews",92,1933.03.05,231
"Arinze, Francis(92),Cardinal-BishopofVelletri–SegniandPrefectemeritus ofCongregation for Divine Worship and the Discipline of the Sacraments",92,1932.11.01,232
"Rosales, Gaudencio Borbon(92),Cardinal-PriestofSS. Nome di Maria in Via Latina,Metropolitan Archbishopemeritus ofManila(Philippines)andformerMemberofCouncil of Cardinals for the Study of Organisational and Economic Problems of the Apostolic See",92,1932.08.10,233
"Stafford, James Francis(92),Cardinal-PriestofS. Pietro in Montorio,Metropolitan Archbishopemeritus ofDenver(USA)andMajor Penitentiaryemeritus ofApostolic Penitentiary",92,1932.07.26,234
"Zen Ze-kiun, Joseph,S.D.B.(陳日君)(93),Cardinal-PriestofS. Maria Madre del Redentore a Tor Bella MonacaandBishopemeritus ofHong Kong 香港(Hong Kong)",93,1932.01.13,235
"Saraiva Martins, José,C.M.F.(93),Cardinal-BishopofPalestrinaandPrefectemeritus ofCongregation for the Causes of Saints",93,1932.01.06,236
"Mureşan, Lucian(93)(Romanian Rite),Cardinal-PriestofS. Atanasio,Major ArchbishopofFăgăraş şi Alba Iuliaof theRomanians(Romania),PresidentofEpiscopal Conference of RomaniaandPresidentofSynod of the Romanian Church",93,1931.05.23,237
"Ruini, Camillo(94),Cardinal-PriestofS. Agnese fuori le mura,Archpriestemeritus ofPapal Archbasilica of Saint John Lateran,Vicar General for the Vicariate of Romeemeritus ofRoma(Italy),formerApostolic AdministratorofOstia(Italy)andformerGrand ChancellorofPontifical Lateran University",94,1931.02.19,238
"Pujats, Jānis(94),Cardinal-PriestofS. Silvia,Metropolitan Archbishopemeritus ofRiga(Latvia)andformerPresidentofEpiscopal Conference of Latvia",94,1930.11.14,239
"De Giorgi, Salvatore(94),Cardinal-PriestofS. Maria in Ara CoeliandMetropolitan Archbishopemeritus ofPalermo(Italy)",94,1930.09.06,240
"Poupard, Paul(94),Cardinal-PriestofS. PrassedeandPresidentemeritus ofPontifical Council for Culture",94,1930.08.30,241
"Herranz Casado, Julián,Opus Dei(95),Cardinal-PriestofS. Eugeniopro hac viceTitleandSupplementary Memberemeritus ofCollege for the review of appeals by clergy accused ofdelicta graviora",95,1930.03.31,242
"Maida, Adam Joseph(95),Cardinal-PriestofSs. Vitale, Valeria, Gervasio e Protasio,Metropolitan Archbishopemeritus ofDetroit(USA)andEcclesiastical Superioremeritus ofCayman Islands(Cayman Islands)",95,1930.03.18,243
"Kitbunchu, Michael Michai(96),Cardinal-PriestofS. Lorenzo in Panisperna,ProtopriestofCollege of CardinalsandMetropolitan Archbishopemeritus ofBangkok(Thailand)",96,1929.01.25,244
"Brandmüller, Walter(96),Cardinal-PriestofS. Giuliano dei Fiamminghipro hac viceTitleandPresidentemeritus ofPontifical Committee for Historical Sciences",96,1929.01.05,245
"Simoni, Ernest(96),Cardinal-DeaconofS. Maria della Scala",96,1928.10.18,246
"Wetter, Friedrich(97),Cardinal-PriestofS. Stefano al Monte CelioandMetropolitan Archbishopemeritus ofMünchen und Freising(Germany)",97,1928.02.20,247
"Langa, Júlio Duarte(97),Cardinal-PriestofS. Gabriele dell’AddolorataandBishopemeritus ofXai-Xai(Mozambique)",97,1927.10.27,248
"Dri, Luis Pascual,O.F.M. Cap.(98),Cardinal-DeaconofS. Angelo in Pescheria",98,1927.04.17,249
"Wamala, Emmanuel(98),Cardinal-PriestofS. UgoandMetropolitan Archbishopemeritus ofKampala(Uganda)",98,1926.12.15,250
"Karlic, Estanislao Esteban(99),Cardinal-PriestofBeata Maria Addolorata a piazza Buenos AiresandMetropolitan Archbishopemeritus ofParaná(Argentina)",99,1926.02.07,251
"Acerbi, Angelo(99),Cardinal-DeaconofSs. Angeli Custodi a Città GiardinoandPrelateemeritus ofSovereign Military Hospitaller Order of Saint John of Jerusalem of Rhodes and of Malta (Knights of Malta)",99,1925.09.23,252
